dead:
Oxbridge, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Jak, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Miles Edgeworth, Spyro, Luigi, Big Boss, Locke, Elizabeth, Kirby, Wheatley, Snake, Alucard, N, GlaDOS, Ike, Niko, Altair, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Otacon, Sora, Booker DeWitt, Yoshimitsu, Game and Watch, Pac-Man, Blue, Samus, Neku, Seifer, Ezio, Auron, L-Block, Dragonborn, Master Chief, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Creeper, Red, Pit, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, Rikku, Zelda, Lightning, Charizard, Link, Shepard, Ryu, Sonic, Vincent, Bowser, Sephiroth, Luigi, Kirby, Snake, GlaDOS, Zack, Cloud, Dante, Leon Kennedy, Pikachu, Sora, Pac-Man, Samus, Auron, Tifa Lockheart, Mario, Squall, Red, Mega Man, Zero (MMX), Charizard, Link, Sonic, Sephiroth, Snake, Cloud, Pikachu, Samus, Mario, Charizard, Link, Snake, Mario, Link;
Ayvuir, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Draven, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Spyro, Luigi, Big Boss, Ness, Elizabeth, Kirby, Wheatley, Snake, Alucard, N, GlaDOS, Ike, Epona, Altair, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Otacon, Sora, Booker DeWitt, Groose, Lee Everett, Nathan Drake, Blue, Samus, Neku, Knuckles, Ezio, Auron, L-Block, Dragonborn, Yuna, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Tidus, Wario, Red, Pit, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, Rikku, Zelda, Lightning, Charizard, Link, Shepard, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Big Boss, Kirby, Snake, Epona, Zack, Cloud, Dante, Leon Kennedy, Pikachu, Sora, Blue, Samus, Auron, Tifa Lockheart, Mario, Squall, Red, Mega Man, Zero (MMX), Charizard, Link, Vincent, Sephiroth, Snake, Cloud, Sora, Samus, Mario, Charizard, Link, Snake, Mario, Link;
Tofa, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Jak, Ryu, Mega Man X, Sonic, Dracula, Barret, Marth, Vincent, Mewtwo, Chrom, Sub-Zero, Bowser, Sephiroth, Miles Edgeworth, Spyro, Luigi, Big Boss, Ness, Elizabeth, Kirby, Wheatley, Snake, Falcon, Bayonetta, GlaDOS, Ike, Epona, Shulk, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Ridley, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Booker DeWitt, Groose, Game and Watch, Pac-Man, Blue, Samus, Vaas, Knuckles, Tails, Auron, L-Block, Dragonborn, Master Chief, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Creeper, Red, Pit, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, ? Block, Zelda, Lightning, Charizard, Link, Aerith, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Luigi, Kirby, Snake, Epona, Zack, Cloud, Squirtle, Leon Kennedy, Pikachu, Sora, Blue, Samus, Auron, Tifa Lockheart, Mario, Missingno, Red, Mega Man, Zero (MMX), Charizard, Link, Vincent, Sephiroth, Epona, Cloud, Sora, Samus, Mario, Charizard, Link, Epona, Mario, Link;
CyberMonkey, Link, Raiden, Yoshi, Shepard, Juliet, Aerith, Draven, Ryu, Mega Man X, Sonic, Dracula, Barret, Marth, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Miles Edgeworth, Clementine, Luigi, Big Boss, Locke, Elizabeth, Kirby, Wheatley, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Altair, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Booker DeWitt, Yoshimitsu, Lee Everett, Nathan Drake, Fox, Samus, Catherine, Knuckles, Ezio, Auron, L-Block, Dragonborn, Master Chief, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Creeper, Red, Pit, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, ? Block, Zelda, Lightning, Charizard, Link, Aerith, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Luigi, Kirby, Snake, Epona, Zack, Cloud, Squirtle, Leon Kennedy, Pikachu, Sora, Fox, Samus, Auron, Tifa Lockheart, Mario, Squall, Creeper, Mega Man, Zero (MMX), Charizard, Link, Vincent, Sephiroth, Snake, Cloud, Sora, Samus, Mario, Charizard, Link, Snake, Mario, Link;
gitanil, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Jak, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Clementine, Luigi, Big Boss, Ness, Elizabeth, Kirby, Wheatley, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Altair, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Gilgamesh, Groose, Lee Everett, Nathan Drake, Fox, Samus, Vaas, Knuckles, Ezio, Auron, L-Block, Dragonborn, Yuna, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Wario, Red, Cecil, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, ? Block, Zelda, Lightning, Charizard, Link, Aerith, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Big Boss, Kirby, Snake, GlaDOS, Zack, Cloud, Dante, Leon Kennedy, Pikachu, Sora, Fox, Samus, Auron, Tifa Lockheart, Mario, Squall, Cecil, Mega Man, Zero (MMX), Charizard, Link, Sonic, Sephiroth, Snake, Cloud, Sora, Samus, Mario, Charizard, Link, Snake, Mario, Link;
SonicRaptor, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Draven, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Agent 47, Clementine, Luigi, Big Boss, Ness, Elizabeth, Kirby, Wheatley, Snake, Falcon, Bayonetta, GlaDOS, Ike, Niko, Altair, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Ridley, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Booker DeWitt, Groose, Game and Watch, Pac-Man, Fox, Samus, Neku, Knuckles, Ezio, Auron, L-Block, Dragonborn, Yuna, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Wario, Red, Cecil, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, Rikku, Zelda, Lightning, Charizard, Link, Aerith, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Big Boss, Kirby, Snake, Ike, Zack, Cloud, Squirtle, Gordon Freeman, Crono, Sora, Fox, Samus, Auron, Tifa Lockheart, Mario, Squall, Red, Mega Man, Zero (MMX), Charizard, Link, Vincent, Sephiroth, Snake, Cloud, Crono, Samus, Mario, Mega Man, Link, Cloud, Mario, Link;
Xuxon, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Jak, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, Chrom, Sub-Zero, Bowser, Sephiroth, Morrigan, Reyn, Luigi, Big Boss, Ness, Elizabeth, Kirby, Crash, Snake, Alucard, N, GlaDOS, Ike, Mordin, Altair, Lara Croft, Ryu Hayabusa, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Booker DeWitt, Groose, Lee Everett, Nathan Drake, Fox, Samus, Catherine, Knuckles, Ezio, Auron, L-Block, Dragonborn, Master Chief, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Creeper, Red, Cecil, Magikarp, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, ? Block, Zelda, Lightning, Charizard, Link, Aerith, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Big Boss, Kirby, Snake, GlaDOS, Ryu Hayabusa, Cloud, Squirtle, Leon Kennedy, Pikachu, Sora, Fox, Samus, Auron, Tifa Lockheart, Mario, Missingno, Creeper, Magikarp, Zero (MMX), Charizard, Link, Sonic, Sephiroth, Snake, Cloud, Pikachu, Samus, Mario, Magikarp, Link, Cloud, Magikarp, Magikarp;
Lopen, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Chie, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, Chrom, Sub-Zero, Bowser, Sephiroth, Morrigan, Reyn, Luigi, Big Boss, Locke, Poison, Kirby, Vercetti, Snake, Alucard, Bayonetta, GlaDOS, Proto Man, Mordin, Altair, Slime, Ryu Hayabusa, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Yu Narukami, Leon Kennedy, Simon Belmont, Crono, Pikachu, Magus, Scorpion, Gilgamesh, Yoshimitsu, Game and Watch, Nathan Drake, Blue, Samus, Neku, Knuckles, Ezio, Auron, L-Block, Dragonborn, Master Chief, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Tidus, Wario, Red, Cecil, Magikarp, Kratos, Mike Haggar, Zero (MMX), Weighted Companion Cube, Rikku, Zelda, Lightning, Charizard, Link, Shepard, Ryu, Sonic, Vincent, Bowser, Sephiroth, Luigi, Kirby, Snake, Proto Man, Slime, Cloud, Dante, Leon Kennedy, Pikachu, Scorpion, Blue, Samus, Auron, Master Chief, Mario, Squall, Cecil, Magikarp, Zero (MMX), Zelda, Link, Sonic, Sephiroth, Snake, Cloud, Scorpion, Samus, Mario, Magikarp, Link, Cloud, Magikarp, Magikarp;
PrivateBiscuit, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Jak, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Miles Edgeworth, Clementine, Luigi, Big Boss, Ness, Elizabeth, Kirby, Wheatley, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Altair, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Ridley, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Otacon, Sora, Booker DeWitt, Groose, Lee Everett, Nathan Drake, Blue, Samus, Vaas, Knuckles, Ezio, Auron, L-Block, Dragonborn, Yuna, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Creeper, Red, Cecil, Mega Man, Kratos, Red Bird, Zero (MMX), Weighted Companion Cube, ? Block, Zelda, Lightning, Charizard, Link, Shepard, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Big Boss, Wheatley, Snake, GlaDOS, Zack, Cloud, Dante, Leon Kennedy, Crono, Sora, Lee Everett, Samus, Auron, Tifa Lockheart, Mario, Squall, Red, Mega Man, Zero (MMX), Charizard, Link, Sonic, Sephiroth, Snake, Cloud, Crono, Samus, Mario, Charizard, Link, Snake, Mario, Link;
hellfire, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Draven, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Spyro, Luigi, Big Boss, Ness, Elizabeth, Kirby, Wheatley, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Altair, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Booker DeWitt, Groose, Game and Watch, Steve, Fox, Samus, Catherine, Knuckles, Ezio, Auron, L-Block, Dragonborn, Master Chief, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Creeper, Red, Pit, Mega Man, Kratos, Red Bird, Zero (MMX), Weighted Companion Cube, ? Block, Zelda, Lightning, Charizard, Link, Aerith, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Big Boss, Kirby, Snake, Epona, Zack, Cloud, Dante, Leon Kennedy, Pikachu, Sora, Fox, Samus, Auron, Tifa Lockheart, Mario, Squall, Red, Mega Man, Zero (MMX), Charizard, Link, Vincent, Sephiroth, Snake, Cloud, Sora, Samus, Mario, Charizard, Link, Snake, Mario, Link;
